stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
SE010,4022,"MERIVALE / VIEWMOUNT",,  45.343696, -75.729135,,,0
SE015,2975,"MERIVALE / VIEWMOUNT",,  45.343482, -75.729226,,,0
SE020,1637,"MERIVALE / COLONNADE",,  45.340609, -75.727555,,,0
SE030,1635,"MERIVALE / COLONNADE",,  45.340743, -75.727426,,,0
SE040,1638,"MERIVALE / WOODFIELD",,  45.338387, -75.726335,,,0
SE045,5877,"MERIVALE / WEST HUNT CLUB",,  45.335532, -75.724677,,,0
SE050,1636,"MERIVALE / ROYDON",,  45.338457, -75.726079,,,0
SE055,5735,"MERIVALE / ROYDON",,  45.337220, -75.725317,,,0
SE058,6099,"MERIVALE / WEST HUNT CLUB",,  45.335639, -75.724446,,,0
SE060,1616,"MERIVALE / JAMIE",,  45.333111, -75.723268,,,0
SE070,1615,"MERIVALE / JAMIE",,  45.333154, -75.723000,,,0
SE090,6100,"MERIVALE / CAMELOT",,  45.330826, -75.722024,,,0
SE101,0605,"MERIVALE / BENTLEY",,  45.331131, -75.721854,,,0
SE110,6102,"MERIVALE / ENTERPRISE",,  45.329625, -75.721351,,,0
SE121,0606,"MERIVALE / BONGARD",,  45.329342, -75.720845,,,0
SE130,5743,"MERIVALE / CLEOPATRA",,  45.327457, -75.720131,,,0
SE135,6103,"MERIVALE / SLACK",,  45.326174, -75.719396,,,0
SE140,8117,"MERIVALE / CLEOPATRA",,  45.327698, -75.719911,,,0
SE150,1622,"MERIVALE / CAPITAL",,  45.324548, -75.718461,,,0
SE155,6104,"MERIVALE / SLACK",,  45.325467, -75.718700,,,0
SE180,1614,"MERIVALE / PINEGLEN",,  45.321168, -75.716467,,,0
SE190,1613,"MERIVALE / PINEGLEN",,  45.321565, -75.716564,,,0
SE220,6107,"MERIVALE / AMBERWOOD",,  45.318068, -75.714443,,,0
SE240,0988,"MERIVALE / AMBERWOOD",,  45.317645, -75.714500,,,0
SE260,0984,"BURNBANK / GRENFELL",,  45.319706, -75.722367,,,0
SE270,0985,"BURNBANK / AVONLEA",,  45.318938, -75.724508,,,0
SE280,6108,"BURNBANK / CRAWLEY",,  45.317470, -75.728342,,,0
SE290,0986,"PRATT / BURNBANK",,  45.316067, -75.731218,,,0
SE300,0987,"PRATT / AVONLEA",,  45.314645, -75.729859,,,0
SE310,6117,"PRATT / GRENFELL",,  45.313949, -75.729384,,,0
SE320,2498,"GRENFELL / BETH",,  45.315193, -75.725605,,,0
SE330,6110,"GRENFELL / BURNBANK",,  45.319606, -75.722165,,,0
SE340,1624,"GRENFELL / CAPITAL",,  45.321805, -75.721446,,,0
SE350,6109,"GRENFELL / CAPITAL",,  45.320880, -75.721650,,,0
SE360,4017,"GRENFELL / SLACK",,  45.323488, -75.721423,,,0
SE370,1625,"GRENFELL / SLACK",,  45.323471, -75.721589,,,0
SE380,1618,"SLACK / MERIVALE",,  45.325608, -75.719608,,,0
SE400,1620,"SLACK / GRENFELL",,  45.324778, -75.721877,,,0
SE405,1621,"SLACK / MERIVALE",,  45.325832, -75.719439,,,0
SE410,1619,"SLACK / GRENFELL",,  45.324895, -75.721965,,,0
SE420,6111,"SLACK / MERIVALE SCHOOL",,  45.323283, -75.725737,,,0
SE430,6112,"SLACK / MERIVALE SCHOOL",,  45.323455, -75.725773,,,0
SF010,2976,"MERIVALE / MEADOWLANDS",,  45.350186, -75.733232,,,0
SF020,1889,"MERIVALE / MEADOWLANDS",,  45.350373, -75.732987,,,0
SF030,6128,"MERIVALE / FAMILY BROWN",,  45.348000, -75.731947,,,0
SF040,5846,"MERIVALE / FAMILY BROWN",,  45.347662, -75.731451,,,0
SF050,6129,"MERIVALE / AD. 1642",,  45.345777, -75.730637,,,0
SF055,6131,"MERIVALE / BASIL MACDONALD",,  45.345542, -75.730436,,,0
